Zupanija,Mjesto,Tvrtka,Pozicija,vrijedi_do,link_za_posao
Zadarska,Zadar,STOLARSKI OBRT STUDIO - B,Stolar / stolarica,41 dan do isteka,https://www.posao.hr/oglasi/stolar-stolarica/748731/
Zadarska,Zadar,VIKTOR ZADAR d.o.o. za trgovinu i usluge,Vozač-dostavljač m/ž,10 dana do isteka,https://www.posao.hr/oglasi/vozac-dostavljac-m-z/748758/
Zadarska,Zadar,VIKTOR ZADAR d.o.o. za trgovinu i usluge,Pomoćni pekar (m/ž),10 dana do isteka,https://www.posao.hr/oglasi/pomocni-pekar-m-z/748729/
Zadarska,Petrčane,INTERMOD društvo s ograničenom odgovornošću za...,Radnik/ca na održavanju teniskih terena,25 dana do isteka,https://www.posao.hr/oglasi/radnik-ca-na-odrzavanju-teniskih-terena/748444/
Zadarska,Zadar,"FOŠA  ZADAR d.o.o., za trgovinu i usluge",Čistač/ica,11 dana do isteka,https://www.posao.hr/oglasi/cistac-ica/748079/
Zadarska,Zadar,"ELEKTROINSTALACIJE GAĆINA, VL. ANTE GAĆINA, ZADAR,...",Elektroinstalater / elektroinstalater,10 dana do isteka,https://www.posao.hr/oglasi/elektroinstalater-elektroinstalater/747978/
Primorsko-goranska,Bakar,"GAVRANOVIĆ, društvo s ograničenom odgovornošću za...",Prodavač-blagajnik/prodavačica-blagajnica,4 dana do isteka,https://www.posao.hr/oglasi/prodavac-blagajnik-prodavacica-blagajnica/751961/
Primorsko-goranska,Lovran,"MALTI - MODIS d.o.o. ugostiteljstvo, trgovina i...",Sobar/ica-spremač/ica,16 dana do isteka,https://www.posao.hr/oglasi/sobar-ica-spremac-ica/752090/
Primorsko-goranska,Lovran,PIZZERIA DELFINO društvo s ograničenom odgovornošću...,Pizza pekar/ica,16 dana do isteka,https://www.posao.hr/oglasi/pizza-pekar-ica/752028/
Primorsko-goranska,Rijeka,PLACARI jednostavno društvo s ograničenom...,Konobar / konobarica,16 dana do isteka,https://www.posao.hr/oglasi/konobar-konobarica/751870/
Primorsko-goranska,Lovran,PIZZERIA DELFINO društvo s ograničenom odgovornošću...,Pomoćni radnik/ca  u kuhinji,15 dana do isteka,https://www.posao.hr/oglasi/pomocni-radnik-ca-u-kuhinji/752081/
Primorsko-goranska,Rab,"STAR TURIST d.o.o. za trgovinu, putnička agencija",Čistač/ čistačica,10 dana do isteka,https://www.posao.hr/oglasi/cistac-cistacica/752070/
Primorsko-goranska,Podhum,BETA PLAN društvo s ograničenom odgovornošću za...,Fasader / fasaderka,10 dana do isteka,https://www.posao.hr/oglasi/fasader-fasaderka/751977/
Primorsko-goranska,Lopača,PSIHIJATRIJSKA BOLNICA LOPAČA,Njegovatelj/njegovateljica,13 dana do isteka,https://www.posao.hr/oglasi/njegovatelj-njegovateljica/751911/
Primorsko-goranska,Matulji,MIKULIĆ društvo s ograničenom odgovornošću za...,Vozač/ica- dostavljač/ica,12 dana do isteka,https://www.posao.hr/oglasi/vozac-ica-dostavljac-ica/752055/
Primorsko-goranska,Rijeka,BRODOGRADILIŠTE VIKTOR LENAC  dioničko društvo,Vatrogasac/vatrogasica,7 dana do isteka,https://www.posao.hr/oglasi/vatrogasac-vatrogasica/751591/
Primorsko-goranska,Rijeka,"JTH Costabella, d.o.o. za turizam i građevinarstvo,...",Konobar/konobarica,10 dana do isteka,https://www.posao.hr/oglasi/konobar-konobarica/751542/
Primorsko-goranska,Rijeka,BRODOGRADILIŠTE VIKTOR LENAC  dioničko društvo,Vatrogasac vozač/vatrogasica vozačica,7 dana do isteka,https://www.posao.hr/oglasi/vatrogasac-vozac-vatrogasica-vozacica/751588/
Primorsko-goranska,Nerezine,"JADRAN ugostiteljski obrt, vl. Fikret Beluli,...",Konobar/konobarica,10 dana do isteka,https://www.posao.hr/oglasi/konobar-konobarica/751541/
Primorsko-goranska,Kastav,H2O ENGINEERING društvo s ograničenom odgovornošću za...,Vodoinstalater / vodoinstalaterka,2 dana do isteka,https://www.posao.hr/oglasi/vodoinstalater-vodoinstalaterka/751636/
Primorsko-goranska,Rijeka,"JTH Costabella, d.o.o. za turizam i građevinarstvo,...",Barmen/barmenica,10 dana do isteka,https://www.posao.hr/oglasi/barmen-barmenica/751519/
Inozemstvo,Dumovec,ZUBAK GRUPA društvo s ograničenom odgovornošću za...,Perač/peračica vozila,2 dana do isteka,https://www.posao.hr/oglasi/perac-peracica-vozila/753862/
Inozemstvo,Njemačka,ELEKTRO BONERA jednostavno društvo s ograničenom...,Električar/električarka - elektroinstalater/elektroinstalterka,25 dana do isteka,https://www.posao.hr/oglasi/elektricar-elektricarka-elektroinstalater-elektroinstalterka/753784/
Inozemstvo,Zagreb-Novi Zagreb,PROMETNICE ZAGREB d.o.o.  za graditeljstvo,Građevinski/a tehničar/ka - niskogradnja,7 dana do isteka,https://www.posao.hr/oglasi/gradevinski-a-tehnicar-ka-niskogradnja/753652/
Inozemstvo,Austrija,SD OFFICIUM BONUM društvo s ograničenom odgovornošću...,Soboslikar/ica,24 dana do isteka,https://www.posao.hr/oglasi/soboslikar-ica/753794/
Inozemstvo,Hrvatski Leskovac,OVERSEAS TRADE Co Ltd d.o.o. za trgovinu i usluge,Skladišni/a radnik/ca,4 dana do isteka,https://www.posao.hr/oglasi/skladisni-a-radnik-ca/753886/
Inozemstvo,Njemačka,GLM-elektro društvo s ograničenom odgovornošću za...,Električar/električarka,23 dana do isteka,https://www.posao.hr/oglasi/elektricar-elektricarka/753783/
Inozemstvo,Hrvatski Leskovac,OVERSEAS TRADE Co Ltd d.o.o. za trgovinu i usluge,Vozač/ica - dostavljač/ica,4 dana do isteka,https://www.posao.hr/oglasi/vozac-ica-dostavljac-ica/753842/
Inozemstvo,Njemačka,ZE Steel jednostavno društvo s ograničenom...,Zavarivač/zavarivačica,10 dana do isteka,https://www.posao.hr/oglasi/zavarivac-zavarivacica/753824/
Inozemstvo,Njemačka,ZE Steel jednostavno društvo s ograničenom...,Monter/monterka metalnih konstrukcija,10 dana do isteka,https://www.posao.hr/oglasi/monter-monterka-metalnih-konstrukcija/753819/
Inozemstvo,Austrija,SD OFFICIUM BONUM društvo s ograničenom odgovornošću...,Keramičar/ka,23 dana do isteka,https://www.posao.hr/oglasi/keramicar-ka/753503/
Inozemstvo,Njemačka,TEHNO ŠTEFANOVIĆ d.o.o. za trgovinu,Građevinski radnik/ica,11 dana do isteka,https://www.posao.hr/oglasi/gradevinski-radnik-ica/753607/
Inozemstvo,Njemačka,TEHNO ŠTEFANOVIĆ d.o.o. za trgovinu,Bravar/ica - monter/ka,11 dana do isteka,https://www.posao.hr/oglasi/bravar-ica-monter-ka/753533/
Inozemstvo,Zagreb-Novi Zagreb,REWORDS d.o.o. za usluge,Prodavač/prodavačica,22 dana do isteka,https://www.posao.hr/oglasi/prodavac-prodavacica/753486/
Inozemstvo,Zagreb-Novi Zagreb,REWORDS d.o.o. za usluge,Pita majstor/ica,22 dana do isteka,https://www.posao.hr/oglasi/pita-majstor-ica/753452/
Inozemstvo,Njemačka,ĐURO ĐAKOVIĆ MONTAŽA-IZOLAK D.O.O.ZA...,Izolater-monter/izolaterka-monterka,2 dana do isteka,https://www.posao.hr/oglasi/izolater-monter-izolaterka-monterka/753502/
Varaždinska,Varaždin,OMEGA VIKO društvo s ograničenom odgovornošću za...,Šivač/šivačica gornjih dijelova obuće,9 dana do isteka,https://www.posao.hr/oglasi/sivac-sivacica-gornjih-dijelova-obuce/751005/
