Zupanija,Mjesto,Tvrtka,Pozicija,Vrijedi_do,Link_za_posao
Zagrebačka,Zagreb,Oglasnik d.o.o.,Sistem administrator (m/ž) - studentski posao,2021-08-30,https://www.posao.hr/oglasi/sistem-administrator-m-z-studentski-posao/760824/
Splitsko-dalmatinska,Zagreb or remote from anywhere in Croatia,Camaloon,Business Manager (m/f),2021-09-02,https://www.posao.hr/oglasi/business-manager-m-f/757365/
Splitsko-dalmatinska,Croatia,WorkToday International BV,Recruiter (m/f),2021-08-31,https://www.posao.hr/oglasi/recruiter-m-f/746580/
Zadarska,"Bol, Supetar, Brela,...",Sunce hoteli d.d.,Konobar (m/ž),2021-09-01,https://www.posao.hr/oglasi/konobar-m-z/760829/
Zadarska,Zadar - Supernova,Leder & Schuh d.o.o.,Prodavač (m/ž),2021-08-25,https://www.posao.hr/oglasi/prodavac-m-z/759796/
Vukovarsko-srijemska,Vinkovci,"AUTO DRAGO AUTOMEHANIČAR,AUTOPRAONICA I UGOSTITELJ. OBRT",Djelatnik/ca u autopraonici,2021-09-11,https://www.posao.hr/oglasi/djelatnik-ca-u-autopraonici/761345/
Vukovarsko-srijemska,Vinkovci,"AUTO DRAGO AUTOMEHANIČAR,AUTOPRAONICA I UGOSTITELJ. OBRT",Vulkanizer/vulkanizerka,2021-09-11,https://www.posao.hr/oglasi/vulkanizer-vulkanizerka/761308/
Šibensko-kninska,Zagreb or remote anywhere from Croatia,Camaloon,Sales Development Representative (m/f),2021-09-02,https://www.posao.hr/oglasi/sales-development-representative-m-f/757367/
Šibensko-kninska,Zagreb or remote anywhere from Croatia,Camaloon,Customer Experience Specialist  (m/f),2021-09-02,https://www.posao.hr/oglasi/customer-experience-specialist-m-f/757366/
Sisačko-moslavačka,Zagreb; Hrvatska - teren,Workforce Ljudski Potencijali d.o.o.,Inženjer elektrotehnike (m/ž),2021-09-05,https://www.posao.hr/oglasi/inzenjer-elektrotehnike-m-z/735362/
Sisačko-moslavačka,Hrvatska - teren,Workforce Ljudski Potencijali d.o.o.,Inženjer građevine - voditelj gradilišta u visokogradnji (m/ž),2021-09-05,https://www.posao.hr/oglasi/inzenjer-gradevine-voditelj-gradilista-u-visokogradnji-m-z/749204/
Varaždinska,Ivanec,KTC d.d.,Skladišni radnik (m/ž),2021-09-03,https://www.posao.hr/oglasi/skladisni-radnik-m-z/761113/
Primorsko-goranska,Rijeka,Metro Cash & Carry d.o.o.,Prodavač (m/ž),2021-09-02,https://www.posao.hr/oglasi/prodavac-m-z/760830/
Grad Zagreb,Zagreb,posao.hr,Savjetnik za selekciju i zapošljavanje (m/ž),2021-08-30,https://www.posao.hr/oglasi/savjetnik-za-selekciju-i-zaposljavanje-m-z/760825/
Inozemstvo,"Preding/Weiz (Štajerska, Austrija)",PMMG GmbH,Elektrotehničar za izolacijske sustave (m/ž/d),2021-09-06,https://www.posao.hr/oglasi/elektrotehnicar-za-izolacijske-sustave-m-z-d/759585/
Inozemstvo,"Leoben, Knittelfeld, Jois, Steyr (Austrija)",PMMG GmbH,CNC operater (m/ž/d),2021-09-06,https://www.posao.hr/oglasi/cnc-operater-m-z-d/759788/
Zagrebačka,Zagreb,Auto Benussi d.o.o.,Djelatnik u autopraoni (m/ž),2021-09-06,https://www.posao.hr/oglasi/djelatnik-u-autopraoni-m-z/761391/
Zagrebačka,Zagreb,Auto Benussi d.o.o.,Automehaničar (m/ž),2021-09-06,https://www.posao.hr/oglasi/automehanicar-m-z/761390/
Splitsko-dalmatinska,"Bol, Starigrad-Paklenica",Sunce hoteli d.d.,Wellness terapeut (m/ž),2021-09-01,https://www.posao.hr/oglasi/wellness-terapeut-m-z/760836/
Zadarska,Zadar,Metro Cash & Carry d.o.o.,Prodavač (m/ž),2021-09-06,https://www.posao.hr/oglasi/prodavac-m-z/761408/
Zadarska,Poličnik,Dolex d.o.o.,Voditelj distributivnog skladišta (m/ž),2021-09-19,https://www.posao.hr/oglasi/voditelj-distributivnog-skladista-m-z/761114/
Vukovarsko-srijemska,Vinkovci,"AUTO DRAGO AUTOMEHANIČAR,AUTOPRAONICA I UGOSTITELJ. OBRT",Pomoćni/a automehaničar/ka,2021-09-11,https://www.posao.hr/oglasi/pomocni-a-automehanicar-ka/761286/
Šibensko-kninska,remote anywhere from Croatia,Camaloon,Customer Support Specialist (m/f),2021-09-02,https://www.posao.hr/oglasi/customer-support-specialist-m-f/757364/
Požeško-slavonska,Croatia,LHR Marcin Bronowski,Sales Representative (m/f),2021-08-31,https://www.posao.hr/oglasi/sales-representative-m-f/760127/
Sisačko-moslavačka,Sisak,Workforce Ljudski Potencijali d.o.o.,Procesni tehnolog (m/ž),2021-08-25,https://www.posao.hr/oglasi/procesni-tehnolog-m-z/733303/
Varaždinska,Ivanec,KTC d.d.,Prodavač na odjelu tehnike (m/ž),2021-09-03,https://www.posao.hr/oglasi/prodavac-na-odjelu-tehnike-m-z/761111/
Varaždinska,Varaždin,KTC d.d.,Prodavač - trgovački pomoćnik (m/ž),2021-09-03,https://www.posao.hr/oglasi/prodavac-trgovacki-pomocnik-m-z/761091/
Primorsko-goranska,Croatia,LHR Marcin Bronowski,Sales Representative (m/f),2021-08-31,https://www.posao.hr/oglasi/sales-representative-m-f/760127/
Primorsko-goranska,Zagreb or remote anywhere from Croatia,Camaloon,Sales Development Representative (m/f),2021-09-02,https://www.posao.hr/oglasi/sales-development-representative-m-f/757367/
Grad Zagreb,Zagreb,Oglasnik d.o.o.,Sistem administrator (m/ž) - studentski posao,2021-08-30,https://www.posao.hr/oglasi/sistem-administrator-m-z-studentski-posao/760824/
Grad Zagreb,Zagreb,Auto Benussi d.o.o.,Djelatnik u autopraoni (m/ž),2021-09-06,https://www.posao.hr/oglasi/djelatnik-u-autopraoni-m-z/761391/
Inozemstvo,"Venray, Nizozemska",Otto Work Force d.o.o.,Zaposlenik skladišta (m/ž),2021-08-30,https://www.posao.hr/oglasi/zaposlenik-skladista-m-z/759586/
Inozemstvo,"Venlo, Nizozemska",Otto Work Force d.o.o.,Zaposlenik skladišta (m/ž),2021-08-30,https://www.posao.hr/oglasi/zaposlenik-skladista-m-z/759587/
Zagrebačka,Zagreb,Auto Benussi d.o.o.,Prodajni savjetnik (m/ž),2021-09-06,https://www.posao.hr/oglasi/prodajni-savjetnik-m-z/761389/
Zagrebačka,Vrbovec,KTC d.d.,Skladišni radnik (m/ž),2021-08-28,https://www.posao.hr/oglasi/skladisni-radnik-m-z/760818/
Splitsko-dalmatinska,"Bol, Supetar, Brela,...",Sunce hoteli d.d.,Sobarica (m/ž),2021-09-01,https://www.posao.hr/oglasi/sobarica-m-z/760835/
Splitsko-dalmatinska,"Bol, Supetar,...",Sunce hoteli d.d.,Pomoćni radnik u kuhinji (m/ž),2021-09-01,https://www.posao.hr/oglasi/pomocni-radnik-u-kuhinji-m-z/760834/
Zadarska,Poličnik,Dolex d.o.o.,Skladištar / viličarist (m/ž),2021-09-19,https://www.posao.hr/oglasi/skladistar-vilicarist-m-z/761112/
Zadarska,"Velika Mlaka, inozemstvo",U.P.I. Adžaga,Vozač C+E kategorije za međunarodni transport (m/ž),2021-09-03,https://www.posao.hr/oglasi/vozac-c-e-kategorije-za-medunarodni-transport-m-z/760837/
Vukovarsko-srijemska,Vinkovci,"AUTO DRAGO AUTOMEHANIČAR,AUTOPRAONICA I UGOSTITELJ. OBRT",Automehaničar/ka,2021-08-31,https://www.posao.hr/oglasi/automehanicar-ka/761279/
Šibensko-kninska,Zagreb or remote from anywhere in Croatia,Camaloon,Business Manager (m/f),2021-09-02,https://www.posao.hr/oglasi/business-manager-m-f/757365/
