Zupanija,Mjesto,Tvrtka,Pozicija,vrijedi_do,link_za_posao
Zagrebačka,Gornji Stupnik,"RADOŠEVIĆ, d.o.o. za proizvodnju, usluge i trgovinu",Tehnolog/inja za izradu transformatora,25 dana do isteka,https://www.posao.hr/oglasi/tehnolog-inja-za-izradu-transformatora/709697/
Zagrebačka,Gornji Stupnik,DOM EMERIK društvo s ograničenom odgovornošću za usluge,Njegovatelj/ica starijih i nemoćnih osoba,24 dana do isteka,https://www.posao.hr/oglasi/njegovatelj-ica-starijih-i-nemocnih-osoba/709756/
Zagrebačka,Gornji Stupnik,DOM EMERIK društvo s ograničenom odgovornošću za usluge,Pomoćni njegovatelj/ica,23 dana do isteka,https://www.posao.hr/oglasi/pomocni-njegovatelj-ica/709759/
Zagrebačka,Novo Čiče,OBITELJSKI DOM ZA STARIJE I NEMOĆNE OSOBE MATIJEVIĆ,Njegovatelj/njegovateljica,23 dana do isteka,https://www.posao.hr/oglasi/njegovatelj-njegovateljica/709757/
Zagrebačka,Gornji Stupnik,FEROMETAL - PRERADA d.o.o. za metaloprerađivačku...,Knjigovođa/tkinja,23 dana do isteka,https://www.posao.hr/oglasi/knjigovoda-tkinja/709734/
Zagrebačka,Novo Čiče,OBITELJSKI DOM ZA STARIJE I NEMOĆNE OSOBE MATIJEVIĆ,Medinska sestra/medicinski tehničar,23 dana do isteka,https://www.posao.hr/oglasi/medinska-sestra-medicinski-tehnicar/709703/
Varaždinska,Varaždin,"BRANKA D.O.O. ZA TRGOVINU,MARKETING,UVOZ I IZVOZ ROBE",Prodavač/prodavačica na blagajni i u trgovini,9 dana do isteka,https://www.posao.hr/oglasi/prodavac-prodavacica-na-blagajni-i-u-trgovini/706691/
Varaždinska,Varaždin,"DERMA d.d. za proizvodnju crijeva, trgovinu, izvoz-uvoz",Radnik/radnica u proizvodnji prirodnih crijeva,6 dana do isteka,https://www.posao.hr/oglasi/radnik-radnica-u-proizvodnji-prirodnih-crijeva/706761/
Varaždinska,Turčin,"""MIHATRANS"" PRIJEVOZ, USLUGE, TRGOVINA, TOMISLAV...",Rukovatelj/rukovateljica građevinskim strojevima,23 dana do isteka,https://www.posao.hr/oglasi/rukovatelj-rukovateljica-gradevinskim-strojevima/706731/
Varaždinska,Varaždin,"DERMA d.d. za proizvodnju crijeva, trgovinu, izvoz-uvoz",Tiskar/tiskarica grafičar/grafičarka u proizvodnji umjetnih ovitaka,5 dana do isteka,https://www.posao.hr/oglasi/tiskar-tiskarica-graficar-graficarka-u-proizvodnji-umjetnih-ovitaka/706715/
